STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/23,90,70
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/24,84,71
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/25,84,69
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/26,84,65
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/27,77,71
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/28,72,65
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/29,80,65
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/30,84,63
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/8/31,85,64
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/1,75,61
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/2,82,58
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/3,81,61
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/4,82,65
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/5,85,54
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/6,81,60
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/7,79,61
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/8,81,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/9,78,56
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/10,80,54
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/11,86,58
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/12,81,59
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/13,81,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/14,68,61
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/15,74,60
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/16,79,48
